artist	date	venue	notes
Man Man	10/6/2007	Hamilton College	
Man Man	8/4/2011	House of Vans	
Matchbox 20	2/12/2008	Turning Stone Casino	
Matoma	7/17/2015	Camp Bisco	
Matt & Kim	4/10/2010	Hamilton College	
Max Tundra	11/10/2009	Great Scott, Boston	Met Max
Memoryhouse	8/4/2012	Osheaga, Montreal, Quebec	
Menomena	6/11/2010	B-Sides Fest, Luzern	
MGMT	6/13/2009	Bonnaroo 2009	Awesome night set!
MGMT	8/17/2010	Radio City Music Hall	Second time, encore was almost all new stuff. Should have ended with Kids
Miami Horror	10/2/2013	Le Poisson Rouge	Live Set
Micachu and the Shapes	6/1/2012	Terminal 5	
Micachu and the Shapes	6/12/2010	B-Sides Fest, Luzern	
Midnight Magic	6/19/2011	Music Hall of Williamsburg	Opened for YACHT
Midnight Magic 	12/3/2011	Santos Party House	
Miike Snow	3/30/2010	Scheine Center, Syracuse	Played onstage with Delorean, but only MSnow songs
Mike Gordon	9/9/2009	Somerville Theatre	
Milky Chance	7/22/2015	Central Park Summerstage	
Moby	7/12/2014	Saugerties, NY	Hudson Music Project
Modest Mouse	6/16/2008	The Armory, Rochester	Met band at trailer after concert
Modest Mouse	7/21/2012	Firefly Music Festival	
Modest Mouse	7/11/2014	Saugerties, NY	Hudson Music Project
Modest Mouse	3/18/2015	Webster Hall	With Becks
moe.	6/19/2015	Saranac Brewery	With Toti, Ben and Harrison
moe.	6/20/2015	Saranac Brewery	With Jestine
moe.	6/14/2008	The Brewery, Utica	Zach Smith went backstage as a bday present
Moon Hooch	7/11/2014	Saugerties, NY	Hudson Music Project
Moon Hooch	7/18/2015	Camp Bisco	
Nas	7/17/2009	Camp Bisco 8	Damien Marley was more popular w/ the crowd
Neon Indian	10/21/2011	Webster Hall	
Neon Indian	7/9/2011	Camp Bisco 10	
Neutral Milk Hotel	10/7/2009	The Bug Jar, Rochester	Met Jeff Mangum, heard instrumental from Julian Koster and Scott Spillane
Neutral Milk Hotel 	1/22/2014	Portchester NY	
Neutral Milk Hotel 	7/23/2014	Prospect Park Bandshell	Lightning storm and had to evacuate, Jeff Mangum almost kicked out
New Myths	10/17/2014	Cameo Gallery	
New Pornographers	4/29/2006	Hamilton College	Second time
New Pornographers	2/25/2006	The Docks, Toronto	First time seeing them
Nickelback	11/1/2003	Utica Auditorium	
No Age	8/2/2009	Brooklyn Bowl	First Set
Oberhofer	7/13/2012	Big Mouth	
Oberhofer	7/17/2013	McCarren Park	Summerscreen with becks 
Oberhofer 	3/21/2012	Bowery Ballroom	
Odd Future	7/17/2011	Pitchfork Fest 2011, Chicago	
Odesza	6/9/2015	Governor's Ball	
Of Montreal	3/7/2007	Hamilton College	First time seeing them
Of Montreal	6/13/2009	Bonnaroo 2009	Second time
Of Montreal	1/31/2010	Paradise Rock, Boston	Third time
Of Montreal	9/18/2010	Terminal 5	With Reyes
Of Montreal	3/31/2012	Webster Hall	
Of Montreal	10/27/2013	Music Hall of Williamsburg	Lou Reed tribute broke guitar, with Becks Renee and Nick
Of Montreal	3/11/2015	Webster Hall	With Joe and Liz
Of Montreal 	5/22/2013	Music Hall of Williamsburg 	With becks Joe billy and liz
Of Montreal 	10/28/2013	Music Hall of Williamsburg 	Second night with becks Joe and liz 
Oh Land	10/19/2010	Rebel NYC	Conflict of Interest Pre-CMJ Party
Ok Go	7/20/2012	Firefly Music Festival	
Okkervil River	6/14/2009	Bonnaroo 2009	
Olivia Tremor Control	10/7/2009	The Bug Jar, Rochester	Jeff Mangum joined in on a song
Orchard Lounge	1/3/2015	Best Buy Theater	
Otherwise	7/17/2009	Camp Bisco 8	
Ott	7/16/2009	Camp Bisco 8	
Ott	7/30/2011	Big Up 2	
Ott	9/25/2013	Highline Ballroom	With Joe and Liz
Outkast	6/6/2014	Governor's Ball	
Panda Bear	9/11/2010	Governor's Island	Went with Mark and Scott
Panda Bear	7/3/2011	Music Hall of Williamsburg	
Panda Bear	10/1/2011	Webster Hall	Got in for free with Tash
Panda Bear	5/18/2014	Warsaw, NY	Played through his new album, had disco biscuits-esque lasers
Papadosio	7/28/2011	Big Up 2	
Party supplies 	11/23/2013	Brooklyn Night Bazaar, Williamsburg 	
Passion Pit	5/7/2010	Hamilton College	Second time, headlined MayDay '10
Passion Pit	6/11/2009	Bonnaroo 2009	First big night set at Roo
Passion Pit	8/5/2012	Osheaga, Montreal, Quebec	
Passion Pit	7/14/2013	Camp Bisco 12	
Paul Oakenfold	6/12/2009	Bonnaroo 2009	
Penguin Prison	7/22/2012	Firefly Music Festival	
People Under the Stairs	6/11/2009	Bonnaroo 2009	
Phish	6/14/2009	Bonnaroo 2009	First time seeing them, last set of the festival
Phish	11/28/2009	Times Union Center, Albany	Second time
Phish	7/3/2012	Jones Beach	
Phish	7/6/2013	SPAC	With Jestine and Renee
Phish	7/5/2014	SPAC	With Jestine Cook and Renee
Phoenix	6/12/2009	Bonnaroo 2009	
Phoenix	6/6/2014	Governor's Ball	
POD	1/17/2004	Worcester Centrum Centre, Boston	
Pogo	3/5/2011	Highline Ballroom	w/ renee
Polica	8/3/2012	Osheaga, Montreal, Quebec	
Pond	3/21/2012	Bowery Ballroom	
Porcelain Raft	10/16/2013	Glasslands	
Portugal the man.	8/4/2012	Osheaga, Montreal, Quebec	
Pretty Lights	7/16/2015	Camp Bisco	
Prince Rama	10/17/2012	The Cake Shop	CMJ
Prometheus	7/16/2009	Camp Bisco 8	
Propofol	8/4/2012	Osheaga, Montreal, Quebec	
Purity Ring	10/21/2011	Webster Hall	
Purity Ring	7/10/2012	Prospect Park Bandshell	Listened from behind the fence
Ra Ra Riot	7/21/2012	Firefly Music Festival	
Radio Radio	8/3/2012	Osheaga, Montreal, Quebec	
Raq	7/30/2011	Big Up 2	
Ratatat	7/8/2011	Camp Bisco 10	
Ratatat	6/8/2015	Governor's Ball	
Ratking	8/5/2015	East River Park, NY	
Real Estate	1/28/2012	K&K Super Buffet, Ridgewood NY	
RJD2	5/1/2009	Hamilton College	
RJD2	8/22/2014	Rocks Off Boat Cruise	Josh Kaye & Becks
Robert Delong	7/11/2014	Saugerties, NY	Hudson Music Project
Rubblebucket	9/8/2012	Catskill Chill, Hancock NY	
Rubblebucket	7/11/2013	Camp Bisco 12	
Sage Francis	3/12/2015	Knitting Factory	With Sam Berman
Santigold	8/5/2012	Osheaga, Montreal, Quebec	
Say Hi	1/28/2015	Music Hall of Williamsburg	
SBTRKT	8/4/2012	Osheaga, Montreal, Quebec	Favorite set of the weekend!
Shpongle	7/16/2009	Camp Bisco 8	DJ Set with Raja Ram
Shpongle	1/1/2011	Hammerstein Ballroom	Shpongletron
Shpongle	10/28/2011	Hammerstein Ballroom	Shpongle Live
Shpongle	7/8/2011	Camp Bisco 10	Shpongle Live
Shpongle	4/20/2012	Roseland Ballroom	The Masquerade
Shpongle	9/27/2013	Bushwick Warehouse	
Shpongle 	4/4/2014	Irving Plaza	
Shpongle 	10/23/2014	Best Buy Theater	Creature Carnival, DJ Set
Sigur Ros	8/3/2012	Osheaga, Montreal, Quebec	
Sinkane	8/6/2015	East River Park, NY	
Skrillex	6/7/2014	Governor's Ball	
Sleigh Bells	4/8/2010	Spark Arts Center, Syracuse	
Sleigh Bells	6/7/2014	Governor's Ball	
Slow Magic	1/24/2015	Best Buy Theater	
Slow Magic	7/16/2015	Camp Bisco	
Snails	7/17/2015	Camp Bisco	
Snoop Dogg	6/14/2009	Bonnaroo 2009	
Solid Gold	10/17/2012	Pianos	CMJ
Sonic Youth	8/24/2006	NY State Fair, Syracuse	
Soullive	9/8/2012	Catskill Chill, Hancock NY	
Speedy Ortiz	9/3/2013	NYU Skirball	
Spoon	6/7/2014	Governor's Ball	
Squarepusher	7/11/2013	Camp Bisco 12	
Steve Babcock	8/16/2014	Rockwood Music Hall	
Story of the Year	1/17/2004	Worcester Centrum Centre, Boston	
Streetlight Manifesto	9/22/2009	House of Blues, Boston	
STS9	7/18/2009	Camp Bisco 8	Day Set, passed out before the night set
STS9	11/3/2012	Best Buy Theater	
STS9	7/11/2013	Camp Bisco 12	
STS9	7/11/2014	Saugerties, NY	Hudson Music Project
STS9	7/16/2015	Camp Bisco	
Sun Airway	7/16/2011	Pitchfork Fest 2011, Chicago	
Supersillyus	7/29/2011	Big Up 2	
Supersillyus 	12/8/2011	The Middle East, Boston	
Surface to Air Missive	10/27/2013	Music Hall of Williamsburg	
Surfer Blood	4/12/2010	The Shop, Ithaca, NY	
Surfer Blood	6/18/2011	McCarren Park	Northside Festival 2011
Sylvan Esso	7/25/2015	Propsect Park	With Eric and Cassie
SZA	7/12/2014	Saugerties, NY	Hudson Music Project
Talib Kweli	9/12/2010	Bushwick Block Party	
Tame Impala	8/5/2012	Osheaga, Montreal, Quebec	
Teengirl Fantasy	9/11/2010	Governor's Island	
Tegan and Sara	2/13/2010	Orpheum Theatre	Went with Renee
Television	8/24/2014	Barclays Center	
The Beastie Boys	6/12/2009	Bonnaroo 2009	
The Bloody Beetroots	6/8/2014	Governor's Ball	Great drummer but kinda boring
The Cool Kids	11/12/2009	Tufts University	
The Decemberists	11/9/2008	Cornell, Ithaca	First time
The Decemberists	06/13/2009	Bonnaroo 2009	Second time, watched part of set
The Decemberists	6/7/2015	Governor's Ball	
The Dirty Projectors	5/7/2010	Hamilton College	MayDay '10
The Flaming Lips	08/24/2006	NY State Fair, Syracuse	
The Flaming Lips	3/3/2011	Carnegie Hall	Played 2 song set, amazing rendition of Do you Realize? w/ Philip Glass
The Flaming Lips	7/22/2012	Firefly Music Festival	
The Killers	7/21/2012	Firefly Music Festival	
The Mars Volta	6/13/2009	Bonnaroo 2009	
The Metermaids	3/12/2015	Knitting Factory	
The Morning Benders	11/18/2010	Webster Hall	
The Mountain Goats	11/29/2009	Wilbur Theatre, Boston	Went with Jack Carter, Adam Felts was there
The National	2/16/2008	Hamilton College	
The New Deal	7/11/2014	Saugerties, NY	Hudson Music Project
The Phantom Band	10/22/2010	CMJ	
The Pixies 	5/22/2015	Ommegang Brewery, Cooperstown, NY	
The Ravonettes	8/4/2012	Osheaga, Montreal, Quebec	
The Roots	3/3/2011	Carnegie Hall	
The Shins	4/29/2012	Terminal 5	
The Shins	8/5/2012	Osheaga, Montreal, Quebec	
The Very Best	11/1/2009	Great Scott, Boston	
The Walkmen	11/9/2008	Cornell, Ithaca	
The Weeknd	8/3/2012	Osheaga, Montreal, Quebec	
The XX	6/9/2013	Governor's Ball, Randall's Island NYC	
These New Puritans	6/11/2010	B-Sides Fest, Luzern	B-Sides Festival
They Might Be Giants	7/26/2015	Music Hall of Williamsburg 	With Nick Meyers and Connor Bennincasa
Thievery Corporation	7/12/2013	Camp Bisco 12	
Thievery Corporation	6/8/2013	Governor's Ball, Randall's Island NYC	
Three Days Grace	10/27/2007	Utica Auditorium	
Tim Hecker	2/11/2010	Cambridge YMCA Theatre	Nate took me
Tipper	7/31/2011	Big Up 2	
Tipper	1/3/2015	Best Buy Theater	With Steph Feeley and Matt O Bryan
Tobacco	6/11/2009	Bonnaroo 2009	
Tobacco	10/4/2014	Webster Hall	Downtown Music Festival
Toro Y Moi	7/17/2011	Pitchfork Fest 2011, Chicago	
Toro Y Moi	7/12/2013	Camp Bisco 12	
Trapt	11/1/2003	Utica Auditorium	
Trey Anastasio 	10/5/2002	Stanley Theatre	
Trippple nippples 	12/14/2011	Glasslands	
Tune-Yards	6/1/2012	Terminal 5	With Renee
Turbo Fruits	4/12/2010	The Shop, Ithaca, NY	Opened for Surfer Blood
TV Girl	10/17/2013	Pianos	CMJ Day Show
TV on the Radio	6/12/2009	Bonnaroo 2009	
TV on the Radio	4/13/2011	Radio City Music Hall	
TV on the Radio	7/17/2011	Pitchfork Fest 2011, Chicago	
TV on the Radio 	5/22/2015	Ommegang Brewery, Cooperstown, NY	
Twin Shadow	7/16/2011	Pitchfork Fest 2011, Chicago	
Twin Wave	10/17/2014	Cameo Gallery	Vishnu's Band
Two Door Cinema Club	9/15/2011	Terminal 5	
Two Door Cinema Club	9/28/2012	Central Park Summerstage	
Umphrey's McGee	2/26/2010	House of Blues, Boston	Friday Night before expulsion
Umphrey's McGee	7/11/2013	Camp Bisco 12	
